timestamp_iso,millis,rssi
2026-04-09T23:38:56.664926,3936010,-55
2026-04-09T23:38:56.665036,3936010,-55
2026-04-09T23:38:56.665101,3936010,-55
2026-04-09T23:38:56.665160,3936010,-55
2026-04-09T23:38:56.665216,3936010,-55
2026-04-09T23:38:56.665272,3936010,-55
2026-04-09T23:38:56.665326,3936010,-55
2026-04-09T23:38:56.665380,3936010,-55
2026-04-09T23:38:56.665434,3936010,-55
2026-04-09T23:38:56.665488,3936010,-55
2026-04-09T23:38:56.665542,3936010,-55
2026-04-09T23:38:56.665595,3936010,-55
2026-04-09T23:38:56.665650,3936010,-55
2026-04-09T23:38:56.665703,3936010,-55
2026-04-09T23:38:56.665786,3936010,-55
2026-04-09T23:38:56.665891,3936010,-55
2026-04-09T23:38:56.666015,3936010,-55
2026-04-09T23:38:56.666115,3936010,-55
2026-04-09T23:38:56.666213,3936010,-55
2026-04-09T23:38:56.666308,3936010,-55
2026-04-09T23:38:56.666405,3936010,-55
2026-04-09T23:38:56.666522,3936010,-55
2026-04-09T23:38:56.666630,3936010,-55
2026-04-09T23:38:56.666748,3936010,-55
2026-04-09T23:38:56.666886,3936010,-55
2026-04-09T23:38:56.666961,3936010,-55
2026-04-09T23:38:56.667099,3936010,-55
2026-04-09T23:38:56.667206,3936010,-55
2026-04-09T23:38:56.667311,3936010,-55
2026-04-09T23:38:56.667425,3936010,-55
2026-04-09T23:38:56.667519,3936010,-55
2026-04-09T23:38:56.667624,3936010,-55
2026-04-09T23:38:56.667732,3936010,-55
2026-04-09T23:38:56.667840,3936010,-55
2026-04-09T23:38:56.667950,3936010,-55
2026-04-09T23:38:56.668088,3936010,-55
2026-04-09T23:38:56.668220,3936010,-55
2026-04-09T23:38:56.668333,3936010,-55
2026-04-09T23:38:56.668441,3936010,-55
2026-04-09T23:38:56.668564,3936010,-55
2026-04-09T23:38:56.668675,3936010,-55
2026-04-09T23:38:56.668782,3936010,-55
2026-04-09T23:38:56.668898,3936010,-55
2026-04-09T23:38:56.669005,3936010,-55
2026-04-09T23:38:56.669111,3936010,-55
2026-04-09T23:38:56.669216,3936010,-55
2026-04-09T23:38:56.669332,3936010,-55
2026-04-09T23:38:56.669439,3936010,-55
2026-04-09T23:38:56.669541,3936010,-55
2026-04-09T23:38:56.669642,3936010,-55
2026-04-09T23:38:56.669761,3936010,-55
2026-04-09T23:38:56.669866,3936010,-55
2026-04-09T23:38:56.669978,3936010,-55
2026-04-09T23:38:56.670087,3936010,-55
2026-04-09T23:38:56.670189,3936010,-55
2026-04-09T23:38:56.670295,3936010,-55
2026-04-09T23:38:56.670399,3936010,-55
2026-04-09T23:38:56.670504,3936010,-55
2026-04-09T23:38:56.670605,3936010,-55
2026-04-09T23:38:56.670712,3936010,-55
2026-04-09T23:38:56.670817,3936010,-55
2026-04-09T23:38:56.670913,3936010,-55
2026-04-09T23:38:56.671109,3936010,-55
2026-04-09T23:38:56.671223,3936010,-55
2026-04-09T23:38:56.671327,3936010,-55
2026-04-09T23:38:56.671431,3936010,-55
2026-04-09T23:38:56.671536,3936010,-55
2026-04-09T23:38:56.671640,3936010,-55
2026-04-09T23:38:56.671746,3936010,-55
2026-04-09T23:38:56.671906,3936010,-55
2026-04-09T23:38:56.671963,3936010,-55
2026-04-09T23:38:56.672046,3936010,-55
2026-04-09T23:38:56.672134,3936010,-55
2026-04-09T23:38:56.672225,3936010,-55
2026-04-09T23:38:56.672316,3936010,-55
2026-04-09T23:38:56.672418,3936010,-55
2026-04-09T23:38:56.672507,3936010,-55
2026-04-09T23:38:56.672600,3936010,-55
2026-04-09T23:38:56.672701,3936010,-55
2026-04-09T23:38:56.672790,3936010,-55
2026-04-09T23:38:56.672880,3936010,-55
2026-04-09T23:38:56.672970,3936010,-55
2026-04-09T23:38:56.673062,3936010,-55
2026-04-09T23:38:56.673162,3936010,-55
2026-04-09T23:38:56.673252,3936010,-55
